服务器名,响应IP,福州电信,泉州电信,厦门移动
angelina.ns.cloudflare.com,162.159.38.232,43ms,91ms,196ms
naya.ns.cloudflare.com,162.159.38.242,44ms,51ms,203ms
macy.ns.cloudflare.com,162.159.38.78,48ms,54ms,199ms
lovisa.ns.cloudflare.com,162.159.38.39,51ms,52ms,超时
nero.ns.cloudflare.com,162.159.44.28,51ms,55ms,212ms
carmelo.ns.cloudflare.com,162.159.44.129,52ms,55ms,172ms
ishaan.ns.cloudflare.com,162.159.44.213,52ms,55ms,191ms
magnolia.ns.cloudflare.com,162.159.38.214,52ms,65ms,202ms
lennox.ns.cloudflare.com,162.159.44.214,53ms,80ms,193ms
kareem.ns.cloudflare.com,162.159.44.22,54ms,72ms,199ms
nelci.ns.cloudflare.com,162.159.38.152,54ms,56ms,205ms
saanvi.ns.cloudflare.com,162.159.38.80,54ms,56ms,204ms
fish.ns.cloudflare.com,162.159.38.252,55ms,69ms,202ms
shubhi.ns.cloudflare.com,162.159.38.63,56ms,65ms,188ms
davina.ns.cloudflare.com,162.159.38.40,57ms,80ms,超时
dexter.ns.cloudflare.com,162.159.44.190,57ms,56ms,214ms
nicolas.ns.cloudflare.com,162.159.44.84,57ms,62ms,198ms
sneh.ns.cloudflare.com,162.159.38.162,57ms,78ms,192ms
brit.ns.cloudflare.com,172.64.32.78,58ms,74ms,195ms
clark.ns.cloudflare.com,173.245.59.87,58ms,68ms,208ms
crystal.ns.cloudflare.com,108.162.194.202,58ms,79ms,186ms
diana.ns.cloudflare.com,108.162.194.23,58ms,80ms,209ms
lochlan.ns.cloudflare.com,162.159.44.234,58ms,59ms,195ms
memphis.ns.cloudflare.com,172.64.35.189,58ms,65ms,38ms
micah.ns.cloudflare.com,108.162.193.206,58ms,68ms,50ms
natasha.ns.cloudflare.com,162.159.38.117,58ms,45ms,194ms
nova.ns.cloudflare.com,162.159.38.129,58ms,54ms,195ms
seamus.ns.cloudflare.com,162.159.44.184,58ms,64ms,192ms
tani.ns.cloudflare.com,108.162.192.224,58ms,71ms,207ms
adaline.ns.cloudflare.com,162.159.38.49,59ms,75ms,193ms
